transaction_id,amount,is_foreign,high_risk_country,previous_fraud,transaction_type,time_hour,fraud
72,57456.51,1,1,0,Online,15,0
73,86327.46,0,1,0,Online,2,1
74,16198.4,1,0,0,POS,0,1
75,45069.35,0,0,1,POS,11,1
76,73940.29,1,1,1,Online,18,0
77,3811.24,0,1,1,POS,23,1
78,32682.18,1,0,0,POS,15,1
79,61553.13,0,1,1,POS,9,0
80,90424.07,1,1,1,Online,14,1
81,20295.02,1,0,0,Online,17,0
82,49165.96,0,0,0,POS,23,0
83,78036.91,1,0,1,Online,16,0
84,7907.85,0,1,1,POS,20,0
85,36778.8,1,1,0,Online,16,0
86,65649.74,0,0,1,Online,19,0
87,94520.69,1,0,0,Online,23,1
88,24391.63,0,0,0,Online,20,0
89,53262.58,1,1,1,POS,12,1
90,82133.53,0,1,1,POS,17,1
91,12004.47,1,0,1,Online,16,0
92,40875.42,0,0,1,Online,13,0
93,69746.36,1,0,1,Online,13,1
94,98617.31,0,1,0,POS,13,1
95,28488.25,1,1,1,Online,18,0
96,57359.2,0,0,1,Online,23,1
97,86230.14,1,0,0,POS,9,1
98,16101.09,1,1,0,Online,22,0
99,44972.03,0,1,1,POS,12,1
100,73842.98,1,0,0,Online,16,1
101,3713.92,0,0,1,POS,14,0
102,32584.87,1,1,1,Online,18,1
103,61455.81,0,1,1,POS,22,1
104,90326.76,1,1,0,Online,15,1
105,20197.7,0,0,0,Online,10,0
106,49068.65,1,0,0,POS,23,0
107,77939.59,0,0,0,Online,17,0
108,7810.54,1,0,1,Online,18,0
109,36681.49,0,0,1,Online,22,0
110,65552.43,1,1,1,Online,5,1
111,94423.38,0,1,1,Online,4,1
112,24294.32,1,1,1,POS,20,1
113,53165.27,1,0,1,POS,14,1
114,82036.21,1,0,0,POS,5,0
115,11907.16,1,0,0,Online,0,1
116,40778.1,0,1,1,POS,18,1
117,69649.05,1,0,1,POS,10,0
118,98519.99,0,1,1,POS,12,1
119,28390.94,1,0,0,Online,6,0
120,57261.88,0,1,1,Online,23,1
121,86132.83,1,1,0,POS,3,0
122,16003.77,0,0,0,POS,9,0
123,44874.72,1,0,1,POS,2,1
124,73745.66,0,0,0,POS,23,0
125,3616.61,1,0,1,Online,22,0
126,32487.55,0,1,1,Online,7,0
127,61358.5,1,0,1,Online,12,1
128,90229.45,0,0,0,POS,3,0
129,20100.39,1,1,0,Online,14,1
130,48971.34,1,1,1,Online,3,1
131,77842.28,0,1,0,POS,4,0
132,7713.23,1,1,1,POS,5,1
133,36584.17,0,0,1,POS,13,1
134,65455.12,1,1,0,Online,21,1
135,94326.06,0,1,0,Online,3,1
136,24197.01,1,0,1,POS,9,0
137,53067.95,0,0,0,POS,7,0
138,81938.9,1,0,0,Online,6,0
139,11809.84,0,1,0,Online,16,0
140,40680.79,1,0,0,POS,18,0
141,69551.73,0,0,0,Online,11,1
142,98422.68,1,1,1,Online,17,1
143,28293.62,0,1,1,Online,13,1
144,57164.57,1,1,0,POS,2,1
145,86035.51,0,1,1,Online,7,0
146,15906.46,1,0,1,Online,5,0
147,44777.41,1,1,1,POS,5,1
148,73648.35,0,0,1,Online,0,1
149,3519.3,1,1,1,Online,8,1
150,32390.24,0,0,1,POS,22,0
151,61261.19,1,1,1,POS,14,1
152,90132.13,0,1,0,POS,15,1
153,20003.08,1,0,0,Online,0,1
154,48874.02,0,0,1,Online,4,0
155,77744.97,1,0,0,POS,15,0
156,7615.91,0,1,0,Online,15,0
157,36486.86,1,1,1,Online,20,0
158,65357.8,0,0,0,POS,23,0
159,94228.75,1,0,0,POS,17,0
160,24099.69,0,0,1,Online,4,1
161,52970.64,1,1,0,Online,23,0
162,81841.58,1,1,0,POS,21,1
163,11712.53,1,0,1,POS,21,1
164,40583.47,1,0,1,Online,18,0
165,69454.42,0,1,0,POS,8,1
166,98325.37,1,1,1,POS,18,1
167,28196.31,0,0,1,Online,21,0
168,57067.26,1,0,0,Online,1,0
169,85938.2,0,0,0,Online,22,0
170,15809.15,1,1,1,POS,3,0
171,44680.09,0,1,0,POS,14,0
172,73551.04,1,0,0,Online,0,1
173,3421.98,0,0,0,Online,10,0
174,32292.93,1,1,1,POS,23,1
175,61163.87,0,1,0,Online,15,1
176,90034.82,1,1,1,Online,20,1
177,19905.76,0,0,1,Online,7,0
178,48776.71,1,0,0,POS,16,0
179,77647.65,1,0,1,Online,4,1
180,7518.6,0,0,0,POS,16,0
181,36389.54,1,0,0,POS,7,0
182,65260.49,0,0,1,Online,0,1
183,94131.43,1,0,1,Online,18,1
184,24002.38,0,1,0,Online,16,1
185,52873.33,1,0,1,POS,18,0
186,81744.27,0,0,0,POS,10,0
187,11615.22,1,0,1,Online,8,1
188,40486.16,0,1,0,POS,15,0
189,69357.11,1,0,0,POS,12,0
190,98228.05,0,1,0,POS,16,0
191,28099,1,0,0,Online,12,0
192,56969.94,0,1,0,Online,3,1
193,85840.89,1,1,0,POS,11,1
194,15711.83,0,0,1,POS,16,0
195,44582.78,1,0,0,Online,2,0
196,73453.72,1,1,0,Online,19,1
197,3324.67,0,0,0,Online,9,0
198,32195.61,1,1,1,Online,23,0
199,61066.56,0,0,0,POS,13,0
200,89937.5,1,0,1,POS,8,0
201,19808.45,0,1,0,Online,15,0
202,48679.39,1,1,0,Online,8,0
203,77550.34,0,0,0,POS,11,0
204,7421.29,1,1,0,POS,10,0
205,36292.23,0,0,0,POS,4,0
206,65163.18,1,1,1,Online,4,1
207,94034.12,0,1,1,Online,9,0
208,23905.07,1,0,1,POS,13,0
209,52776.01,0,0,0,POS,19,0
210,81646.96,1,0,1,Online,11,1
211,11517.9,0,1,1,Online,21,0
212,40388.85,1,0,1,POS,23,0
213,69259.79,1,0,1,POS,15,1
214,98130.74,0,1,0,POS,17,1
215,28001.68,1,1,1,Online,14,0
216,56872.63,0,1,1,Online,5,1
217,85743.57,1,1,1,POS,1,1
218,15614.52,0,0,0,Online,16,1
219,44485.46,1,1,0,Online,7,1
220,73356.41,0,0,0,Online,23,0
221,3227.35,1,1,0,POS,10,1
222,32098.3,0,0,0,POS,11,1
223,60969.25,1,1,0,POS,16,1
224,89840.19,0,1,0,POS,0,1
225,19711.14,1,0,1,Online,5,0
226,48582.08,0,0,0,Online,15,0
227,77453.03,1,0,0,POS,8,0
228,7323.97,1,1,1,POS,20,0
229,36194.92,1,1,0,Online,22,0
230,65065.86,1,0,0,Online,6,0
231,93936.81,0,0,1,Online,19,1
232,23807.75,1,1,0,POS,11,0
233,52678.7,0,1,0,POS,17,1
234,81549.64,1,0,1,Online,2,1
235,11420.59,0,1,0,Online,3,0
236,40291.53,1,0,0,Online,23,1
237,69162.48,0,1,0,POS,16,1
238,98033.42,1,1,1,Online,22,1
239,27904.37,0,0,0,POS,1,0
240,56775.31,1,0,1,POS,9,1
241,85646.26,0,0,1,Online,0,1
242,15517.21,1,1,1,POS,13,1
243,44388.15,0,1,0,POS,0,1
244,73259.1,1,0,1,Online,5,1
245,3130.04,1,1,1,Online,3,1
246,32000.99,0,0,0,POS,16,0
247,60871.93,1,1,1,POS,20,1
248,89742.88,0,1,1,POS,23,0
249,19613.82,1,0,0,POS,5,1
250,48484.77,0,0,1,Online,19,0
251,77355.71,1,1,0,POS,11,1
252,7226.66,0,1,0,Online,9,1
253,36097.6,1,0,1,POS,15,0
254,64968.55,0,0,1,POS,7,0
255,93839.49,1,0,0,Online,22,0
256,23710.44,0,1,0,Online,0,1
257,52581.38,1,0,0,Online,21,0
258,81452.33,0,0,1,POS,15,0
259,11323.27,1,0,1,Online,12,0
260,40194.22,0,1,1,Online,23,1
261,69065.17,1,0,0,Online,19,0
262,97936.11,1,1,1,POS,23,1
263,27807.06,0,0,0,Online,18,0
264,56678,1,1,0,Online,11,1
265,85548.95,0,1,1,Online,14,1
266,15419.89,1,0,0,POS,18,1
267,44290.84,0,0,0,POS,15,0
268,73161.78,1,1,1,Online,7,1
269,3032.73,0,1,1,POS,10,0
270,31903.67,1,0,0,POS,17,0
271,60774.62,0,0,1,Online,22,1
272,89645.56,1,0,1,Online,13,1
273,19516.51,0,1,1,POS,2,0
274,48387.45,1,1,1,POS,13,1
275,77258.4,0,0,1,Online,18,0
276,7129.34,1,0,1,POS,4,0
277,36000.29,1,0,1,POS,14,1
278,64871.23,1,1,0,POS,9,0
279,93742.18,1,1,0,Online,11,0
280,23613.13,0,0,1,POS,22,0
281,52484.07,1,0,1,POS,10,0
282,81355.02,0,1,1,POS,3,1
283,11225.96,1,1,1,Online,23,1
284,40096.91,0,0,0,POS,5,0
285,68967.85,1,0,0,POS,18,1
286,97838.8,0,1,1,POS,1,1
287,27709.74,1,1,0,Online,16,0
288,56580.69,0,1,0,POS,6,0
289,85451.63,1,0,0,POS,16,1
290,15322.58,0,1,0,POS,22,0
291,44193.52,1,1,0,Online,15,0
292,73064.47,0,1,0,POS,7,0
293,2935.41,1,0,0,Online,13,1
294,31806.36,1,0,1,POS,13,0
295,60677.3,0,1,0,POS,1,0
296,89548.25,1,1,1,POS,5,1
297,19419.19,0,0,1,POS,15,1
298,48290.14,1,0,0,Online,1,0
299,77161.09,0,1,1,POS,18,0
300,7032.03,1,1,0,POS,22,0
301,35902.98,0,1,1,Online,19,1
302,64773.92,1,0,1,Online,11,1
303,93644.87,0,0,0,POS,18,0
304,23515.81,1,1,0,POS,21,0
305,52386.76,0,1,1,POS,2,1
306,81257.7,1,0,1,Online,7,0
307,11128.65,0,1,1,Online,13,1
308,39999.59,1,0,1,POS,4,1
309,68870.54,0,1,1,Online,22,1
310,97741.48,1,1,0,Online,1,0
311,27612.43,1,0,1,POS,8,0
312,56483.37,0,0,1,Online,14,0
313,85354.32,1,0,0,Online,11,0
314,15225.26,0,1,1,Online,21,1
315,44096.21,1,1,1,POS,4,1
316,72967.15,0,0,0,Online,2,0
317,2838.1,1,0,1,Online,6,0
318,31709.05,0,1,1,Online,0,1
319,60579.99,1,1,0,POS,22,0
320,89450.94,0,1,0,POS,6,0
321,19321.88,1,0,1,Online,10,0
322,48192.83,0,1,1,POS,1,1
323,77063.77,1,1,0,POS,21,0
324,6934.72,0,1,1,POS,12,0
325,35805.66,1,0,1,Online,20,1
326,64676.61,1,0,0,Online,12,1
327,93547.55,1,0,1,POS,3,1
328,23418.5,1,0,1,POS,5,1
329,52289.44,0,1,0,POS,22,1
330,81160.39,1,0,1,Online,14,1
331,11031.33,0,1,1,POS,20,0
332,39902.28,1,1,0,Online,4,0
333,68773.22,0,0,1,POS,23,0
334,97644.17,1,1,1,POS,4,1
335,27515.11,0,0,1,Online,23,0
336,56386.06,1,1,1,Online,15,1
337,85257.01,0,0,0,Online,18,0
338,15127.95,1,0,0,POS,1,0
339,43998.9,0,0,1,POS,17,0
340,72869.84,1,1,0,Online,6,0
341,2740.79,0,1,1,POS,1,1
342,31611.73,1,0,1,POS,22,1
343,60482.68,1,0,1,POS,3,1
344,89353.62,0,0,1,Online,1,0
345,19224.57,1,1,0,POS,2,0
346,48095.51,0,1,1,Online,16,1
347,76966.46,1,0,0,POS,20,1
348,6837.4,0,0,1,POS,15,0
349,35708.35,1,0,1,POS,2,0
350,64579.29,0,1,0,Online,9,0
351,93450.24,1,1,0,Online,19,1
352,23321.18,0,0,0,Online,16,0
353,52192.13,1,0,0,POS,10,1
354,81063.07,0,1,0,POS,10,0
355,10934.02,1,0,0,POS,1,0
356,39804.97,0,0,0,Online,17,0
357,68675.91,1,0,0,POS,1,1
358,97546.86,0,1,1,POS,7,0
359,27417.8,1,1,0,POS,0,0
360,56288.75,1,1,0,Online,16,1
361,85159.69,0,0,0,POS,22,1
362,15030.64,1,1,1,POS,9,0
363,43901.58,0,1,1,Online,21,0
364,72772.53,1,1,1,Online,12,1
365,2643.47,0,0,1,Online,10,1
366,31514.42,1,0,1,POS,21,1
367,60385.36,0,1,1,POS,3,1
368,89256.31,1,1,0,Online,7,1
369,19127.25,0,0,0,POS,15,0
370,47998.2,1,0,1,POS,7,1
371,76869.14,0,1,0,Online,22,0
372,6740.09,1,0,0,POS,9,0
373,35611.03,0,1,0,Online,23,0
374,64481.98,1,0,0,Online,13,0
375,93352.93,0,0,0,Online,7,0
376,23223.87,1,1,1,POS,2,1
377,52094.82,1,1,1,POS,7,1
378,80965.76,0,0,0,POS,8,0
379,10836.71,1,1,1,Online,14,1
380,39707.65,0,0,1,Online,6,0
381,68578.6,1,1,0,POS,3,1
382,97449.54,0,1,0,POS,6,0
383,27320.49,1,0,1,Online,13,1
384,56191.43,0,0,0,Online,5,1
385,85062.38,1,1,1,POS,23,0
386,14933.32,0,1,0,Online,23,1
387,43804.27,1,1,0,Online,7,1
388,72675.21,0,0,0,POS,14,0
389,2546.16,1,0,1,Online,0,0
390,31417.1,0,1,0,Online,22,0
391,60288.05,1,1,0,Online,5,1
392,89158.99,1,0,1,POS,10,1
393,19029.94,1,0,1,Online,15,0
394,47900.89,1,1,0,Online,7,0
395,76771.83,0,1,1,Online,0,1
396,6642.78,1,1,1,POS,16,0
397,35513.72,0,0,1,Online,2,0
398,64384.67,1,0,1,Online,17,1
399,93255.61,0,0,1,Online,6,0
400,23126.56,1,0,0,POS,7,0
401,51997.5,0,1,0,POS,6,0
402,80868.45,1,0,1,Online,13,1
403,10739.39,0,1,0,POS,22,0
404,39610.34,1,1,0,Online,12,0
405,68481.28,0,0,0,Online,2,1
406,97352.23,1,1,0,Online,6,1
407,27223.17,0,0,0,Online,19,0
408,56094.12,1,1,0,POS,17,1
409,84965.06,1,0,0,Online,1,1
410,14836.01,0,0,0,POS,7,1
411,43706.95,1,0,1,POS,23,1
412,72577.9,0,1,0,POS,12,0
413,2448.85,1,1,1,Online,21,0
414,31319.79,0,0,1,Online,1,1
415,60190.74,1,0,0,POS,18,0
416,89061.68,0,0,0,POS,14,0
417,18932.63,1,1,0,Online,12,1
418,47803.57,0,1,0,POS,20,0
419,76674.52,1,0,1,POS,4,1
420,6545.46,0,0,0,Online,13,0
421,35416.41,1,1,0,Online,11,0
422,64287.35,0,1,0,POS,19,0
423,93158.3,1,0,1,POS,0,1
424,23029.24,0,0,1,Online,9,1
425,51900.19,1,0,0,Online,20,0
426,80771.13,1,1,1,POS,15,1
427,10642.08,0,0,1,Online,14,0
428,39513.02,1,0,0,Online,1,1
429,68383.97,0,0,1,POS,4,1
430,97254.91,1,1,0,POS,12,1
431,27125.86,0,1,1,Online,6,1
432,55996.81,1,1,1,Online,21,0
433,84867.75,0,0,1,Online,0,1
434,14738.7,1,0,1,Online,1,0
435,43609.64,0,1,0,POS,4,1
436,72480.59,1,1,1,Online,17,1
437,2351.53,0,1,1,POS,16,0
438,31222.48,1,0,1,POS,2,0
439,60093.42,0,1,0,Online,7,0
440,88964.37,1,0,0,Online,14,1
441,18835.31,1,0,0,Online,1,1
442,47706.26,1,0,0,POS,9,1
443,76577.2,1,1,0,Online,6,0
444,6448.15,0,0,1,POS,23,1
445,35319.09,1,1,0,Online,0,1
446,64190.04,0,0,0,Online,19,0
447,93060.98,1,0,1,Online,12,1
448,22931.93,0,1,1,POS,5,1
449,51802.87,1,1,0,POS,12,1
450,80673.82,0,0,1,Online,15,1
451,10544.77,1,1,1,Online,19,1
452,39415.71,0,1,0,Online,3,1
453,68286.66,1,1,1,POS,8,0
454,97157.6,0,1,1,POS,13,1
455,27028.55,1,0,0,Online,15,1
456,55899.49,0,0,1,POS,9,1
457,84770.44,1,1,1,POS,4,1
458,14641.38,1,1,1,Online,3,0
459,43512.33,0,0,0,POS,15,0
460,72383.27,1,0,1,POS,19,0
461,2254.22,0,0,0,POS,7,0
462,31125.16,1,1,0,Online,5,0
463,59996.11,0,1,1,POS,8,0
464,88867.05,1,0,0,POS,13,0
465,18738,0,0,1,Online,10,0
466,47608.94,1,0,1,Online,12,1
467,76479.89,0,1,0,Online,1,1
468,6350.83,1,0,0,POS,21,1
469,35221.78,0,0,0,Online,22,0
470,64092.73,1,0,1,Online,8,0
471,92963.67,0,1,0,Online,2,1
472,22834.62,1,0,0,POS,14,1
473,51705.56,0,1,1,POS,13,1
474,80576.51,1,0,0,Online,15,0
475,10447.45,1,1,0,Online,5,1
476,39318.4,0,1,0,Online,14,0
477,68189.34,1,0,0,POS,10,0
478,97060.29,0,0,0,POS,12,0
479,26931.23,1,0,1,POS,18,1
480,55802.18,0,1,0,Online,23,1
481,84673.12,1,0,1,Online,6,1
482,14544.07,0,0,1,Online,6,0
483,43415.01,1,0,1,POS,4,0
484,72285.96,0,1,1,POS,21,0
485,2156.9,1,0,0,POS,15,0
486,31027.85,0,0,0,Online,7,0
487,59898.8,1,0,1,POS,23,1
488,88769.74,0,1,1,POS,17,1
489,18640.69,1,1,0,Online,20,0
490,47511.63,1,0,1,Online,3,1
491,76382.58,1,0,0,Online,8,0
492,6253.52,1,0,1,Online,1,1
493,35124.47,0,1,0,POS,17,0
494,63995.41,1,1,1,Online,23,1
495,92866.36,0,0,0,Online,21,0
496,22737.3,1,0,1,Online,14,0
497,51608.25,0,0,1,POS,9,0
498,80479.19,1,1,0,Online,17,1
499,10350.14,0,1,1,POS,21,1
500,39221.08,1,0,1,POS,6,0
501,68092.03,0,0,0,Online,16,0
502,96962.97,1,1,1,POS,17,1
503,26833.92,0,1,1,POS,21,0
504,55704.86,1,1,1,Online,13,0
505,84575.81,0,0,0,Online,7,0
506,14446.76,1,1,0,Online,22,1
507,43317.7,1,1,1,POS,9,1
508,72188.65,1,1,1,Online,22,0
509,2059.59,1,1,0,Online,13,1
510,30930.54,0,0,0,POS,22,0
511,59801.48,1,0,0,POS,18,0
512,88672.43,0,1,0,POS,16,1
513,18543.37,1,0,1,Online,6,1
514,47414.32,0,0,1,POS,18,1
515,76285.26,1,1,1,POS,10,0
516,6156.21,0,0,1,Online,20,0
517,35027.15,1,1,1,Online,8,1
518,63898.1,0,0,1,POS,12,1
519,92769.04,1,1,0,POS,1,0
520,22639.99,0,1,0,Online,12,1
521,51510.93,1,1,1,Online,17,1
522,80381.88,0,0,1,POS,22,0
523,10252.82,1,0,0,Online,13,0
524,39123.77,1,1,1,Online,8,0
525,67994.72,0,1,1,POS,14,1
526,96865.66,1,0,0,POS,15,0
527,26736.61,0,0,0,POS,21,0
528,55607.55,1,0,1,Online,14,1
529,84478.5,0,1,0,Online,4,1
530,14349.44,1,1,1,POS,8,0
531,43220.39,0,0,1,POS,17,0
532,72091.33,1,0,0,Online,21,0
533,1962.28,0,0,0,Online,4,0
534,30833.22,1,1,1,POS,10,0
535,59704.17,0,1,0,Online,12,0
536,88575.11,1,0,0,Online,20,0
537,18446.06,0,1,0,POS,10,1
538,47317,1,0,0,POS,6,0
539,76187.95,0,1,0,Online,11,1
540,6058.89,1,0,1,POS,5,1
541,34929.84,1,0,1,POS,20,1
542,63800.78,0,0,0,POS,13,0
543,92671.73,1,1,1,Online,7,1
544,22542.68,0,0,0,POS,2,0
545,51413.62,1,0,0,POS,15,0
546,80284.57,0,0,0,POS,21,0
547,10155.51,1,1,1,Online,10,0
548,39026.46,0,1,1,POS,23,1
549,67897.4,1,0,1,POS,1,1
550,96768.35,0,0,1,Online,19,0
551,26639.29,1,0,1,POS,12,0
552,55510.24,0,1,1,POS,6,0
553,84381.18,1,0,0,POS,8,1
554,14252.13,0,0,0,Online,2,0
555,43123.07,1,0,0,POS,19,1
556,71994.02,1,1,1,POS,15,1
557,1864.96,1,0,0,POS,8,0
558,30735.91,1,0,1,Online,12,1
559,59606.85,0,0,1,Online,12,1
560,88477.8,1,1,0,POS,22,1
561,18348.74,0,1,0,Online,1,1
562,47219.69,1,0,1,Online,8,0
563,76090.64,0,0,0,Online,9,0
564,5961.58,1,1,1,POS,14,0
565,34832.53,0,1,1,POS,21,0
566,63703.47,1,1,0,Online,2,0
567,92574.42,0,0,0,Online,9,0
568,22445.36,1,0,0,POS,14,0
569,51316.31,0,0,0,Online,0,0
570,80187.25,1,1,0,Online,0,1
571,10058.2,0,1,0,POS,18,1
572,38929.14,1,0,0,POS,8,1
573,67800.09,1,0,0,Online,2,1
574,96671.03,0,0,1,POS,23,1
575,26541.98,1,1,1,POS,12,0
576,55412.92,0,1,0,Online,2,0
577,84283.87,1,0,1,Online,12,1
578,14154.81,0,1,0,POS,7,0
579,43025.76,1,1,1,Online,10,1
580,71896.7,0,1,0,Online,1,1
581,1767.65,1,1,0,Online,1,1
582,30638.6,0,0,1,Online,18,0
583,59509.54,1,0,1,POS,4,1
584,88380.49,0,1,1,POS,23,0
585,18251.43,1,0,0,Online,5,0
586,47122.38,0,0,0,Online,14,0
587,75993.32,1,1,0,POS,12,0
588,5864.27,0,1,0,POS,1,0
589,34735.21,1,1,1,Online,12,1
590,63606.16,1,0,0,POS,9,0
591,92477.1,0,1,0,Online,10,0
592,22348.05,1,1,1,Online,16,1
593,51218.99,0,0,1,POS,20,0
594,80089.94,1,0,0,POS,2,1
595,9960.88,0,0,0,POS,16,0
596,38831.83,1,1,1,Online,12,1
597,67702.77,0,1,0,POS,13,0
598,96573.72,1,0,1,POS,23,1
599,26444.66,0,0,1,POS,4,0
600,55315.61,1,0,0,Online,14,1
601,84186.56,0,1,0,Online,14,1
602,14057.5,1,0,0,POS,13,0
603,42928.45,0,0,0,POS,21,0
604,71799.39,1,0,0,Online,15,0
605,1670.34,1,1,0,Online,1,1
606,30541.28,1,1,0,POS,12,0
607,59412.23,1,1,0,POS,20,0
608,88283.17,0,0,1,POS,23,0
609,18154.12,1,1,1,POS,19,1
610,47025.06,0,1,0,Online,7,1
611,75896.01,1,1,1,POS,16,1
612,5766.95,0,0,1,POS,11,0
613,34637.9,1,0,0,POS,20,0
614,63508.84,0,0,1,POS,15,0
615,92379.79,1,1,1,Online,12,1
616,22250.73,0,0,1,POS,23,0
617,51121.68,1,0,1,POS,22,0
618,79992.62,0,0,1,POS,3,1
619,9863.57,1,0,0,Online,15,1
620,38734.52,0,1,0,POS,20,0
621,67605.46,1,1,1,POS,18,1
622,96476.41,1,0,0,POS,21,1
623,26347.35,0,1,0,Online,21,1
624,55218.3,1,1,0,Online,8,1
625,84089.24,0,0,0,Online,14,1
626,13960.19,1,0,0,POS,2,0
627,42831.13,0,0,0,Online,15,0
628,71702.08,1,1,0,Online,7,0
629,1573.02,0,0,1,POS,12,1
630,30443.97,1,0,1,Online,4,0
631,59314.91,0,0,0,Online,8,0
632,88185.86,1,1,1,Online,3,1
633,18056.8,0,1,1,POS,8,0
634,46927.75,1,0,0,Online,10,0
635,75798.69,0,0,1,Online,18,0
636,5669.64,1,0,1,Online,20,0
637,34540.58,0,1,0,POS,1,0
638,63411.53,1,1,0,Online,9,0
639,92282.48,1,0,1,Online,14,1
640,22153.42,0,0,0,Online,20,1
641,51024.37,1,1,0,Online,7,1
642,79895.31,0,1,1,POS,3,1
643,9766.26,1,1,0,Online,2,1
644,38637.2,0,0,0,Online,14,1
645,67508.15,1,0,1,POS,7,1
646,96379.09,0,1,1,POS,0,0
647,26250.04,1,1,0,Online,6,0
648,55120.98,0,0,1,POS,11,1
649,83991.93,1,0,1,POS,16,1
650,13862.87,0,1,1,POS,13,0
651,42733.82,1,1,0,Online,22,1
652,71604.76,0,1,1,POS,8,0
653,1475.71,1,0,0,Online,21,0
654,30346.65,0,0,0,POS,11,1
655,59217.6,1,0,0,Online,9,0
656,88088.54,1,1,0,POS,1,0
657,17959.49,0,0,0,POS,16,0
658,46830.44,1,0,0,Online,7,1
659,75701.38,0,1,0,Online,18,0
660,5572.33,1,1,0,POS,5,1
661,34443.27,0,1,0,Online,19,1
662,63314.22,1,0,0,Online,21,1
663,92185.16,0,1,1,Online,14,1
664,22056.11,1,1,1,POS,21,0
665,50927.05,0,0,0,Online,2,0
666,79798,1,0,1,Online,7,0
667,9668.94,0,0,1,POS,23,1
668,38539.89,1,1,0,POS,17,0
669,67410.83,0,1,1,Online,22,1
670,96281.78,1,0,1,Online,3,1
671,26152.72,1,0,0,POS,13,0
672,55023.67,1,0,1,Online,6,1
673,83894.61,1,1,1,Online,18,1
674,13765.56,0,0,0,POS,6,0
675,42636.5,1,0,0,POS,5,0
676,71507.45,0,0,1,POS,18,0
677,1378.4,1,1,1,Online,22,0
678,30249.34,0,1,0,Online,18,0
679,59120.29,1,0,1,POS,1,1
680,87991.23,0,0,1,POS,4,1
681,17862.18,1,0,1,POS,22,0
682,46733.12,0,1,1,POS,16,1
683,75604.07,1,1,1,POS,21,1
684,5475.01,0,0,1,POS,9,0
685,34345.96,1,0,1,Online,7,0
686,63216.9,0,0,1,POS,22,0
687,92087.85,1,1,0,POS,17,1
688,21958.79,1,0,0,POS,20,0
689,50829.74,0,0,1,POS,4,0
690,79700.68,1,0,0,POS,13,1
691,9571.63,0,0,1,POS,10,0
692,38442.57,1,1,1,Online,7,1
693,67313.52,0,1,0,POS,19,0
694,96184.46,1,0,0,POS,4,1
695,26055.41,0,1,0,Online,23,0
